SYM
AEM
AGI
AU
AUY
CDE
DRD
EGO
FNV
GFI
GOLD
HL
HMY
IAG
KGC
KL
NEM
OR
PVG
SA
SAND
SBSW
WPM
RGLD
SSRM
USAU
AG
EXK
FSM
BBL
BHP
CMP
LAC
MP
MTRN
NEXA
RIO
TECK
VALE
VEDL
WWR
BVN
GATO
MUX
SPPP
AA
ACH
CSTM
FCX
HBM
SCCO
TRQ
